"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: age","Param: id","Param: name","Param: scope","Param: sex"
"io.moyada.serializer.test.DeserializationBenchMark.FastjsonDeerialize:·gc.churn.G1_Eden_Space","avgt",10,10,2949.947083,85.646687,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.FastjsonDeerialize:·gc.churn.G1_Eden_Space.norm","avgt",10,10,2772.319744,217.453168,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.FastjsonDeerialize:·gc.churn.G1_Old_Gen","avgt",10,10,0.004344,0.001315,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.FastjsonDeerialize:·gc.churn.G1_Old_Gen.norm","avgt",10,10,0.004080,0.001318,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.FastjsonDeerialize:·gc.count","avgt",10,10,495.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.FastjsonDeerialize:·gc.time","avgt",10,10,741.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.GsonDeserialize","avgt",10,10,0.010158,0.000343,"ms/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.GsonDeserialize:·gc.alloc.rate","avgt",10,10,4247.847917,138.183002,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.GsonDeserialize:·gc.alloc.rate.norm","avgt",10,10,4640.000260,0.000012,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.GsonDeserialize:·gc.churn.G1_Eden_Space","avgt",10,10,4270.760206,137.064340,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.GsonDeserialize:·gc.churn.G1_Eden_Space.norm","avgt",10,10,4665.132133,41.479116,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.GsonDeserialize:·gc.churn.G1_Old_Gen","avgt",10,10,0.007657,0.001647,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.GsonDeserialize:·gc.churn.G1_Old_Gen.norm","avgt",10,10,0.008358,0.001703,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.GsonDeserialize:·gc.count","avgt",10,10,717.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.GsonDeserialize:·gc.time","avgt",10,10,1058.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.HessianDeserialize","avgt",10,10,0.009347,0.000267,"ms/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.DeserializationBenchMark.HessianDeserialize:·gc.alloc.rate","avgt",10,10,3303.036441,94.827846,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
