"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: age","Param: id","Param: name","Param: scope","Param: sex"
"io.moyada.serializer.test.SerializationBenchMark.JacksonSerialize","avgt",10,10,0.008997,0.000190,"ms/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.JacksonSerialize:·gc.alloc.rate","avgt",10,10,1605.766647,33.208686,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.JacksonSerialize:·gc.alloc.rate.norm","avgt",10,10,1553.932118,0.004867,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.JacksonSerialize:·gc.churn.G1_Eden_Space","avgt",10,10,1607.436700,38.336817,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.JacksonSerialize:·gc.churn.G1_Eden_Space.norm","avgt",10,10,1555.590453,25.867062,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.JacksonSerialize:·gc.churn.G1_Old_Gen","avgt",10,10,0.001822,0.000545,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.JacksonSerialize:·gc.churn.G1_Old_Gen.norm","avgt",10,10,0.001761,0.000512,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.JacksonSerialize:·gc.count","avgt",10,10,270.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.JacksonSerialize:·gc.time","avgt",10,10,383.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.KryoSerialize","avgt",10,10,0.012490,0.000136,"ms/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.KryoSerialize:·gc.alloc.rate","avgt",10,10,3999.959092,42.817909,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.KryoSerialize:·gc.alloc.rate.norm","avgt",10,10,5373.489199,0.002449,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.KryoSerialize:·gc.churn.G1_Eden_Space","avgt",10,10,4039.481148,59.895064,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.KryoSerialize:·gc.churn.G1_Eden_Space.norm","avgt",10,10,5426.579997,55.006077,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.KryoSerialize:·gc.churn.G1_Old_Gen","avgt",10,10,0.008063,0.001577,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.KryoSerialize:·gc.churn.G1_Old_Gen.norm","avgt",10,10,0.010837,0.002166,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.KryoSerialize:·gc.count","avgt",10,10,678.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.KryoSerialize:·gc.time","avgt",10,10,978.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtobufSerialize","avgt",10,10,0.011569,0.000906,"ms/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtobufSerialize:·gc.alloc.rate","avgt",10,10,2169.222819,212.476533,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtobufSerialize:·gc.alloc.rate.norm","avgt",10,10,2692.694452,159.364113,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtobufSerialize:·gc.churn.G1_Eden_Space","avgt",10,10,2174.819628,226.170810,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtobufSerialize:·gc.churn.G1_Eden_Space.norm","avgt",10,10,2699.120696,168.770550,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtobufSerialize:·gc.churn.G1_Old_Gen","avgt",10,10,0.002217,0.000760,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtobufSerialize:·gc.churn.G1_Old_Gen.norm","avgt",10,10,0.002748,0.000918,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtobufSerialize:·gc.count","avgt",10,10,365.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtobufSerialize:·gc.time","avgt",10,10,548.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtostuffSerialize","avgt",10,10,0.006061,0.000111,"ms/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtostuffSerialize:·gc.alloc.rate","avgt",10,10,2357.305386,43.521261,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtostuffSerialize:·gc.alloc.rate.norm","avgt",10,10,1536.447160,0.003207,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtostuffSerialize:·gc.churn.G1_Eden_Space","avgt",10,10,2367.079655,59.235552,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtostuffSerialize:·gc.churn.G1_Eden_Space.norm","avgt",10,10,1542.818295,26.084329,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtostuffSerialize:·gc.churn.G1_Old_Gen","avgt",10,10,0.002244,0.000569,"MB/sec",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtostuffSerialize:·gc.churn.G1_Old_Gen.norm","avgt",10,10,0.001463,0.000375,"B/op",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtostuffSerialize:·gc.count","avgt",10,10,397.000000,NaN,"counts",18,821223455207111,桂花srt-123,14232.4304,true
"io.moyada.serializer.test.SerializationBenchMark.ProtostuffSerialize:·gc.time","avgt",10,10,562.000000,NaN,"ms",18,821223455207111,桂花srt-123,14232.4304,true
